announcedate,keydeveventtypeid,headline
2001-03-28,80,Mitsubishi Development Property Ltd. agreed to acuire a 18.28% stake in Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd. for AUD 1005 million.
2001-03-28,80,Mitsubishi Development Property Ltd. agreed to acuire a 18.28% stake in Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd. for AUD 1005 million.
2001-03-28,80,Mitsubishi Development Property Ltd. agreed to acuire a 18.28% stake in Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd. for AUD 1005 million.
2001-03-28,80,Mitsubishi Development Property Ltd. agreed to acuire a 18.28% stake in Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd. for AUD 1005 million.
2001-03-29,80,Mitsubishi Development Property Ltd. agreed to acuire a 18.28% stake in Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd. for AUD 1005 million.
2001-03-29,80,Mitsubishi Development Property Ltd. agreed to acuire a 18.28% stake in Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd. for AUD 1005 million.
2001-04-04,80,BHP Billiton Ltd. (ASX: BHP) entered into an agreement to acuire Dia Met Minerals Ltd. for $412.05 million.
2001-04-04,80,BHP Billiton Ltd. (ASX: BHP) entered into an agreement to acuire Dia Met Minerals Ltd. for $412.05 million.
2001-04-04,80,BHP Billiton Ltd. (ASX: BHP) entered into an agreement to acuire Dia Met Minerals Ltd. for $412.05 million.
2001-04-04,80,BHP Billiton Ltd. (ASX: BHP) entered into an agreement to acuire Dia Met Minerals Ltd. for $412.05 million.
2001-04-20,82,BHP Ltd. cancelled the proposed acquisition of a 20% equity interest in Caemi Mineracao e Metalurgia S.A. from Mario A. Frering and Guilherme A. Frering.
2001-05-30,83,Announced Private Placement Transaction - Target: Tri Origin Exploration Ltd.; Investor(s): BHP Billiton plc; Transaction Size: $0.4 mm
2001-05-30,83,Tri Origin Exploration Ltd. announced that it expects to receive $0.4 million in funding from BHP Group
2001-06-28,81,Mitsubishi Development Property Ltd. completed the acquisition of Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd.
2001-06-28,81,Mitsubishi Development Property Ltd. completed the acquisition of Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd.
2001-06-28,81,Mitsubishi Development Property Ltd. completed the acquisition of Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd.
2001-06-28,81,Mitsubishi Development Property Ltd. completed the acquisition of Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd.
2001-06-28,81,Mitsubishi Development Property Ltd. completed the acquisition of Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd.
2001-06-28,81,Mitsubishi Development Property Ltd. completed the acquisition of Central Queensland Coal Associates and Gregory Joint Venture from BHP Billiton Ltd.
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX 200 Index
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX 20 Index
2001-06-29,81,BHP Limited completed the acquisition of Billiton Plc.
2001-06-29,81,BHP Limited completed the acquisition of Billiton Plc.
2001-06-29,81,BHP Limited completed the acquisition of Billiton Plc.
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX 300 Index
2001-06-29,81,BHP Limited completed the acquisition of Billiton Plc.
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX 200 Materials Sector Index
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX 50 Index
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX 100 Index
2001-06-29,95,BHP Billiton Ltd. added to S&P/ASX All Ordinaries Index
2001-07-04,81,BHP Billiton Ltd. (ASX: BHP) completed the acquisition of Dia Met Minerals Ltd.
2001-07-04,81,BHP Billiton Ltd. (ASX: BHP) completed the acquisition of Dia Met Minerals Ltd.
2001-07-04,81,BHP Billiton Ltd. (ASX: BHP) completed the acquisition of Dia Met Minerals Ltd.
2001-07-04,81,BHP Billiton Ltd. (ASX: BHP) completed the acquisition of Dia Met Minerals Ltd.
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX 300 Index
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX 100 Index
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX 200 Materials Sector Index
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX All Ordinaries Index
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX 200 Index
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX 50 Index
2001-07-10,75,BHP Billiton Ltd. dropped from S&P/ASX 20 Index
2001-07-19,22,BHP Billiton Ltd. and Teekay Corporation Announces Signing of an Implementation Agreement to Form a Joint Venture Company
2001-08-19,80,Announced Merger/Acquisition Transaction - Target: Vincent Metals Goods ; Buyer(s): Integris Metals CORP.; Seller(s): BHP Billiton Ltd.
2001-08-19,80,Announced Merger/Acquisition Transaction - Target: Atlas Ideal Metals; Buyer(s): Integris Metals CORP.; Seller(s): BHP Billiton Ltd.
2001-10-23,80,PT Bumi Resources Tbk entered into an agreement to acquire 80% interest in the PT Arutmin Indonesia from BHP Billiton in a transaction valued at $148 million.
2001-11-01,81,Closed Merger/Acquisition Transaction - Target: Vincent Metals Goods ; Buyer(s): Integris Metals CORP.; Seller(s): BHP Billiton Ltd.
2001-11-01,81,Closed Merger/Acquisition Transaction - Target: Atlas Ideal Metals; Buyer(s): Integris Metals CORP.; Seller(s): BHP Billiton Ltd.
2001-11-30,81,PT Bumi Resources Tbk completed the acquisition of 80% interest in the PT Arutmin Indonesia from BHP Billiton.
2002-01-29,23,BHP Billiton Approves Yandi Lump Project
