date,sentiment,n,sentiment_smoothed
2022-05-01,-0.6183767914772034,1,-0.6183767914772034
2022-07-01,-0.2942269742488861,3,-0.45630188286304474
2022-08-01,-0.41548770666122437,3,-0.44269715746243793
2022-09-01,-0.9291080236434937,2,-0.5642998740077019
2022-10-01,-0.753520953655243,5,-0.60214408993721
2022-12-01,-0.6571326000349862,7,-0.6113088416201727
2022-12-17,-0.6151520013809204,1,-0.6118578644431368
2023-03-01,-0.8525494337081909,1,-0.6453110990475636
2023-04-26,-0.5014449954032898,1,-0.6749136734981926
2023-05-01,-0.8974863290786743,1,-0.7437706195578284
2023-06-01,-0.019134581089019775,2,-0.6137744134786178
2023-06-16,0.8489055633544922,1,-0.3848563396200842
2023-07-19,-0.9152418375015259,1,-0.42172908782958984
2023-08-23,-0.460324227809906,1,-0.39961083446230206
2024-03-01,-0.9223573803901672,1,-0.40958339827401297
2024-06-01,-0.8922083079814911,2,-0.46540672864232746
2024-07-01,-0.5264685750007629,1,-0.412404192345483
2024-08-01,-0.8814415633678436,2,-0.5355909040996006
2024-09-01,-0.2519342303276062,3,-0.6928537317684719
2024-09-19,-0.7602361440658569,1,-0.670710061277662
2024-10-01,-0.5905088186264038,1,-0.6893078599657331
2024-10-03,-0.6005421280860901,1,-0.6433342524937221
2024-12-01,-0.9358938634395599,2,-0.649575046130589
2025-01-01,-0.5814519226551056,2,-0.6574298100812095
2025-02-01,-0.8833305537700653,2,-0.6576996658529554
